state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,current_cases,current_deaths,previous_cases,previous_deaths,2019_population,change_in_case_ratio,change_in_deaths_ratio,storm_composite,km_cluster,dbs_clusters,latitude,longitude,coordinates
Texas,Ellis,0,0,0,0,0,0,1,0,3,0,0,0,3120.0,43.0,2545.0,35.0,184826.0,311.0999999999999,4.328395355631783,4,0,0,32.2619765,-96.83509989999999,"(32.2619765, -96.83509989999999)"
Texas,Dallas,0,0,0,0,0,0,1,0,0,0,0,0,55553.0,785.0,52131.0,722.0,2635516.0,129.9000000000001,2.3904237348587523,1,3,0,32.8024682,-96.83509989999999,"(32.8024682, -96.83509989999999)"
Texas,Fannin,0,0,0,0,0,0,1,0,3,0,0,0,266.0,8.0,219.0,8.0,35514.0,132.29999999999995,0.0,4,3,0,33.5544296,-96.15269850000001,"(33.5544296, -96.15269850000001)"
Texas,La Salle,0,0,0,0,0,0,4,0,1,4,0,0,362.0,2.0,357.0,1.0,7520.0,66.5,13.297872340425533,5,3,0,28.2758921,-99.1013498,"(28.2758921, -99.1013498)"
Texas,Dimmit,0,0,0,0,0,0,5,0,2,0,0,0,155.0,3.0,131.0,1.0,10124.0,237.0,19.755037534571315,7,0,0,28.4116514,-99.8124935,"(28.4116514, -99.8124935)"
Texas,Robertson,0,0,0,0,0,0,6,0,4,0,0,0,234.0,2.0,216.0,2.0,17074.0,105.40000000000008,0.0,10,1,0,31.0080004,-96.49297969999999,"(31.0080004, -96.49297969999999)"
Texas,Freestone,0,0,0,0,0,0,3,0,1,0,0,0,162.0,0.0,139.0,0.0,19717.0,116.60000000000002,0.0,4,3,0,31.7534889,-96.15269850000001,"(31.7534889, -96.15269850000001)"
Texas,Henderson,0,0,0,0,0,0,0,0,2,0,0,0,641.0,12.0,604.0,11.0,82737.0,44.700000000000045,1.2086490929088558,2,3,0,32.1321367,-95.81428849999999,"(32.1321367, -95.81428849999999)"
Texas,Smith,0,0,0,0,0,0,1,2,3,0,0,0,2928.0,27.0,2416.0,18.0,232751.0,220.0,3.8667932683425636,4,0,0,32.3352505,-95.3102505,"(32.3352505, -95.3102505)"
Texas,Wood,0,0,0,0,0,0,1,0,1,0,0,0,321.0,7.0,302.0,5.0,45539.0,41.69999999999993,4.391839961351809,2,3,0,32.8296216,-95.35208759999999,"(32.8296216, -95.35208759999999)"
Texas,Titus,0,0,0,0,0,0,0,0,1,0,0,0,1381.0,15.0,1312.0,14.0,32750.0,210.70000000000027,3.0534351145038165,1,0,0,33.2493126,-94.976654,"(33.2493126, -94.976654)"
Texas,Bowie,0,0,0,0,0,0,0,0,4,0,0,0,769.0,40.0,706.0,38.0,93245.0,67.60000000000002,2.14488712531503,4,3,0,33.4473287,-94.479976,"(33.4473287, -94.479976)"
Texas,Nacogdoches,0,0,0,0,0,0,5,0,4,0,0,0,1167.0,42.0,1054.0,37.0,65204.0,173.29999999999995,7.668241212195571,9,1,0,31.6353071,-94.645035,"(31.6353071, -94.645035)"
Texas,Rusk,0,0,0,0,0,0,1,1,2,0,0,0,377.0,2.0,338.0,2.0,54406.0,71.60000000000002,0.0,3,3,0,32.1741887,-94.81059549999999,"(32.1741887, -94.81059549999999)"
Texas,Camp,0,0,0,0,0,0,1,0,0,0,0,0,242.0,6.0,218.0,5.0,13094.0,183.29999999999995,7.63708568810142,1,3,0,32.9567043,-94.99744609999999,"(32.9567043, -94.99744609999999)"
Texas,Red River,0,0,0,0,0,0,2,0,0,0,0,0,137.0,11.0,134.0,11.0,12023.0,25.0,0.0,2,3,0,33.6072302,-94.976654,"(33.6072302, -94.976654)"
Texas,Brewster,0,0,0,0,0,0,3,0,2,0,0,0,187.0,2.0,186.0,2.0,9203.0,10.800000000000182,0.0,5,3,0,29.6629938,-103.3587288,"(29.6629938, -103.3587288)"
Texas,Presidio,0,0,0,0,0,0,0,0,3,0,0,0,47.0,2.0,44.0,0.0,6704.0,44.80000000000007,29.83293556085919,3,3,0,29.9480666,-104.1001326,"(29.9480666, -104.1001326)"
